,종목명,현재가,거래량,자본금(백만원),자본총계(백만원),영업이익증가율,영업이익(원),매출액영업이익률,EBITDA(백만원),시가총액,배당수익률,부채비율,이자보상비율,결산년월,PBR,PSR,PCR,PER,ROE,PBR_rank,PSR_rank,PCR_rank,PER_rank,DIV_rank,rank_tot
621,강원랜드,26600.0,614500.0,106970.0,10037482,0.0,-431583000000.0,-90.18000030517578,4294613021.0,56908.0,3.380000114440918,12.149999618530273,0.0,202012,1.76380876599695,11.181168558217738,-18.256691832532603,0.0,-7.920000076293945,358.0,500.0,34.0,68.0,50.0,960.0
1205,효성티앤씨,562000.0,62633.0,21638.0,6040703,-17.450000762939453,266559000000.0,5.159999847412109,477756.0,24322.0,0.8799999952316284,294.7900085449219,5.050000190734863,202012,2.48363760103588,0.3725592233267152,5.898714248228812,4.800000190734863,25.100000381469727,417.0,138.0,238.0,167.0,252.0,960.0
544,한섬,40300.0,70646.0,12315.0,846508,-4.21999979019165,102052000000.0,8.520000457763672,155079.0,9926.0,1.1100000143051147,27.75,57.43000030517578,202012,0.8528198074277854,0.7672098690222358,6.685467816854678,9.680000305175781,7.849999904632568,168.0,269.0,268.0,265.0,226.0,970.0
16,성창기업지주,2515.0,121869.0,36000.0,56439,0.0,8033000000.0,4.699999809265137,17804.0,1754.0,0.0,32.720001220703125,3.440000057220459,202012,0.3217758444216991,0.9412425149700598,9.314814814814815,13.890000343322754,0.9599999785423279,7.0,305.0,331.0,330.0,444.0,973.0
453,금호석유,168500.0,165551.0,152338.0,6990773,103.12999725341797,742159000000.0,15.430000305175781,923199.0,51338.0,2.490000009536743,59.63999938964844,26.520000457763672,202012,1.3617151954485578,0.8535751374078671,5.999430321156448,3.990000009536743,20.18000030517578,293.0,285.0,241.0,154.0,89.5,973.0
791,우진,10350.0,1897488.0,10161.0,326180,0.0,1146000000.0,1.2799999713897705,4131.0,2103.0,0.9599999785423279,44.38999938964844,1.0700000524520874,202012,1.5510265248014385,2.1131073907717437,-106.70103092783505,7.130000114440918,25.829999923706055,332.0,428.0,6.0,217.0,242.0,983.0
695,이엔플러스,3500.0,135610.0,25676.0,399841,0.0,-8333000000.0,-30.360000610351562,4294959566.0,1797.0,0.0,63.13999938964844,0.0,202012,2.225047679593134,10.32448377581121,-35.714285714285715,0.0,-27.799999237060547,398.0,496.0,22.0,68.0,444.0,984.0
801,GKL,15100.0,452595.0,30927.0,2024605,0.0,-88810000000.0,-48.150001525878906,4294917133.0,9340.0,4.360000133514404,45.650001525878906,0.0,202012,2.167671547516509,10.618846694796062,-22.14076246334311,0.0,-12.010000228881836,394.0,497.0,32.0,68.0,24.0,991.0
799,영원무역,44500.0,224338.0,22155.0,1981607,9.270000457763672,259688000000.0,10.529999732971191,343532.0,19719.0,1.1200000047683716,52.369998931884766,15.510000228881836,202012,1.0049229935413937,0.747585048299034,5.981986826186315,10.520000457763672,8.020000457763672,211.0,266.0,240.0,278.0,223.5,995.0
817,코오롱인더,80600.0,338008.0,137595.0,2271836,-11.859999656677246,152441000000.0,3.7799999713897705,396664.0,22180.0,1.2400000095367432,120.05000305175781,2.640000104904175,202012,1.0242724615580125,0.547524591054834,5.45626861630111,16.139999389648438,9.6899995803833,215.0,212.0,216.0,352.0,200.0,995.0
